ref,value
BT1,CR2032 3V BATT
C1,100uF
C2,100nF
C3,100nF
C4,22pF
C5,22pF
C6,10uF
C7,CTRIM
C8,4.7uf
C9,>10uf
C10,1uf
C11,10uf
C12,10uF
C13,10uF
C14,10uf
D1,D13
D2,DATA
D3,1N4001
D4,1N4148
D5,1N4148
IC1,ATMEGA328P-P
J1,CON-SD-MMC-3
K1,CONN_3
K2,CONN_3
K3,CONN_3
K4,CONN_3
K5,CONN_3
K6,CONN_3
L1,10uH
P1,CONN_1
P2,CONN_1
P3,CONN_1
P4,CONN_1
P5,BATTERY
P6,SOLAR
P7,A_IN_0
P8,A_IN_1
P9,A_IN_2
P10,A_IN_3
P11,PWR_JMP
P12,ISP
P13,FTDI
P14,SERIAL
P15,SIM900 GSM
R1,470k
R2,100k
R3,THERM
R4,100k
R5,1k
R6,1k
R7,10k
R8,10k
R9,10k
R10,10k
R11,40.2k
R12,1020k
R13,332k
SHIELD1,ARDUINO_SHIELD
SW1,CALIBRATE
SW2,RESET
U1,4050
U2,PCF8563
U3,LTC3105_MSOP
U4,MCP1703
X1,16MHz
X2,32.27 kHz
